Session_ID,Assigned_Course,Session_Type,Assigned_Section
LAB_CNC311_Level3_AID_Sec1,CNC311,LAB,Level3_AID_Sec1
LAB_CNC311_Level3_AID_Sec2,CNC311,LAB,Level3_AID_Sec2
LAB_CNC311_Level3_AID_Sec3,CNC311,LAB,Level3_AID_Sec3
LAB_CNC311_Level3_AID_Sec4,CNC311,LAB,Level3_AID_Sec4
LAB_AID312_Level3_AID_Sec1,AID312,LAB,Level3_AID_Sec1
LAB_AID312_Level3_AID_Sec2,AID312,LAB,Level3_AID_Sec2
LAB_AID312_Level3_AID_Sec3,AID312,LAB,Level3_AID_Sec3
LAB_AID312_Level3_AID_Sec4,AID312,LAB,Level3_AID_Sec4
TUT_AID312_Level3_AID_Sec1,AID312,TUT,Level3_AID_Sec1
TUT_AID312_Level3_AID_Sec2,AID312,TUT,Level3_AID_Sec2
TUT_AID312_Level3_AID_Sec3,AID312,TUT,Level3_AID_Sec3
TUT_AID312_Level3_AID_Sec4,AID312,TUT,Level3_AID_Sec4
LAB_CNC314_Level3_AID_Sec1,CNC314,LAB,Level3_AID_Sec1
LAB_CNC314_Level3_AID_Sec2,CNC314,LAB,Level3_AID_Sec2
LAB_CNC314_Level3_AID_Sec3,CNC314,LAB,Level3_AID_Sec3
LAB_CNC314_Level3_AID_Sec4,CNC314,LAB,Level3_AID_Sec4
LAB_AID311_Level3_AID_Sec1,AID311,LAB,Level3_AID_Sec1
LAB_AID311_Level3_AID_Sec2,AID311,LAB,Level3_AID_Sec2
LAB_AID311_Level3_AID_Sec3,AID311,LAB,Level3_AID_Sec3
LAB_AID311_Level3_AID_Sec4,AID311,LAB,Level3_AID_Sec4
TUT_AID311_Level3_AID_Sec1,AID311,TUT,Level3_AID_Sec1
TUT_AID311_Level3_AID_Sec2,AID311,TUT,Level3_AID_Sec2
TUT_AID311_Level3_AID_Sec3,AID311,TUT,Level3_AID_Sec3
TUT_AID311_Level3_AID_Sec4,AID311,TUT,Level3_AID_Sec4
LAB_CSC317_Level3_AID_Sec1,CSC317,LAB,Level3_AID_Sec1
LAB_CSC317_Level3_AID_Sec2,CSC317,LAB,Level3_AID_Sec2
LAB_CSC317_Level3_AID_Sec3,CSC317,LAB,Level3_AID_Sec3
LAB_CSC317_Level3_AID_Sec4,CSC317,LAB,Level3_AID_Sec4
